,reviewText,predSumary,actualSummary
0,Everything met my expectations.,Five Stars,Great
1,Love Amaretto in my latte. So grateful to get it sugar free,So grateful to get it sugar free,Love these flavorings
2,Great for take along snacks. Pack them in lunches.,Great for take along snacks,Always have  a great snack.
3,"I returned this, I found mechanically it was just fine. It just was not bright enough for me.",Great,Not bad
4,I wore my new visor golfing and it was perfect!  No more headaches.  Too thin for the ball marker clip but I found someplace else to put it.,Perfect,No more headache!
5,"I am really happy with this mount.  I have had the opportunity to use it with a Samsung Galaxy Nexus, Samsung Galaxy S3, HTC One, iPhone 5, and Nokia Lumia 920.  The mount held each phone very well, and I believe that it has enough movement to hold something as big as a Note.  I would point out that because of the way it grabs the phone on the sides, you have to be mindful with phone that has the power button on the side.  It is not a big issue at all, you just have to be aware when you place the phone in the mount.

The only issue I have had with the mount is that it left a mark on the dash of my car.  I had the mount placed on the dash for approximately a month, and it stayed perfectly the whole time, but when I went to reposition it I noticed there was a ring mark left on the dash.  It has now been another month and the ring has finally disappeared.  I tried a number of different cleaners on the ring and none of them seemed to help.  I am not sure if this an issue with the mount, or if the dash of my car is weird, but because of this I have since moved the mount to the windshield.

Despite my issue, I would recommend this mount to anyone looking for something universal.","Good mount, but it keeps the ring on its dash",Really nice car mount for a variety of phones.
6,"Good holder for games. Nothing special, but they work perfectly",Five Stars,Worth the price
7,Great song done during the best music time ever!,Five Stars,Five Stars
8,"For those of us looking for the first significant rock star of the 21st Century  here he is!! Stephen Malkmus is a major talent on the verge of very very big things with this impressive solo debut. To think that the driving force behind underground darlings Pavement could sound this popfriendly simply amazes me. ""The Hook,"" should, without question, be a Top40 single. The CD's closer, ""Deado,"" is a hypnotic groove that sucks you right in. Yul Brenner's rap at the beginning of, ""Jo Jo's Jacket,"" is hilarious. This album has everything. A classic album in every sense of the word, and rock's first sign of life for the 21st Century.",A must have for a rocker,The First Classic Album Of The 21st Century
9,"This product is noisy, cheap and runs out of juice sooner.  We  returned it  and replaced it with the Dremel 7700AT 7.2Volt which did a wonderful job.  if I compare this the dremel, it would be day and light.  the dremel is rechargeable, much less noisy, much more powerful and is much sturdier.","Great product, and it's a lot lighter than other products","Noisey, Cheap, weak and runs out of juice sooner..!!"
10,"I love anything by Fannie Flagg.  In fact, I reread her books every so often.  This story was a delight.",Great story from Fannie Flagg,I love anything by Fannie Flagg
11,Great stuff used it on my current caprice PPV. cannot go wrong with reline fluid.,Great stuff used it on my current caprice PPV,Five Stars
12,"I love fine point pens. These work well without leaking. The biggest drawback to this pen? It is made for your desk or your shirt pocket. If you carry it unprotected in a purse or pants pocket, it will snap.

Otherwise, I was so impressed with the first two of these I owned that I bought a dozen of them.",Great Point pen,Where will you carry it?
13,Great collar!  I bought 2 and I would buy it again!  Love that I could recharge via my computer.  I have the blue and orange collar.  Both seem to be bright in light.  Love the 3 different options in solid/blinking lights.  Very durable.  I was only planning on using it for a 'night collar' but ended up leaving it on the dogs. I have 2 labrador retrievers over 75 lbs and it is really holding up and does not seem like it is falling apart.  Highly recommend!,Great collar! I bought 2 and...,I would definitely buy again!
14,"If you read this book, you will discover how to recognise what is wrong with bad writing, and how to transform it into good writing. Having read this book, I can recall books I have read in the past which used tedious stuffy prose, and convert it mentally into better language. Good prose has an operator, an action, and an object. It does not have passive verbs such as 'is.' If you take the is out and replace with a more active verb, your writing will glitter and glow. Winston Churchill saiTongue sticking out, cheeky, playful or blowing a raspberry 'We shall fight on the beaches, we shall fight on the shores.' Operator we. Action fight. Object beaches. He did not say: 'Hostilities shall be commenced on the coastal perimeter.' Unspecified operator, action, and object. In addition, you can learn much more than this, the academic style has become somewhat too popular, although there may be contexts in which it is appropriate, but if you wish to polish up your prose, and make it vastly more dynamic, you can do this in a matter of hours with this book, and eliminate a lifetime of passive noun styles. Other lessons include using 'is' less, the less you use passive verbs like is, the more powerful, and attention grabbing your prose will become. If you are like me, it will change your whole understanding of writing style, an enable you to make your point clearly, briefly and succinctly, in about half the words you normally use. More active prose leads to a more active and clearer mind. Here on Amazon due to a searching glitch you may come upon an expensive version of this book. You can find a version by the same author, same publisher Longman, almost the same title, and",Great for words,"Express yourself, and save money doing so..."
15,"they work decently on an iPad but do not have a precision tip, so it is almost the same as using your finger for drawing or writing notes.

also, they are completely hollow on the inside so it is extremely light. lighter than an ink pen even and this makes it feel sort of awkward in the hand.",Great product,they work decently on an iPad but do not have ...
16,"I installed these extenders yesterday on my motor home rear duels.  Came out this Am and had two flat tires out of the four.  Removed the extenders and aired up the tires.  No leaks.  Obviously the extenders leak. And yes, they were torqued to specifications.",Great for home rear duels,They Leak.  110 PSI to  zero overnight.
17,I now know how slow I am when I play my Guitar.. I have been into a lot of solos that Iv'e watched on Utube. trying to speed up. So I got this thing hoping it would help me keep on track.,I now know how slow my guitar,I just play around with this.
18,good fit  helpful holster for my cordless while doing anything...,Five Stars,handy addition...
19,"My stand lasted a little over a year before the plastic nuts that hold the boom in position were stripped and no longer useable. If only they were metal nuts, I am sure this stand would have lasted for a long time. As it is, I would not buy it again because I doubt a new one would last any longer.",A little over a year before the plastic nuts that hold this boom in position were stripped and no longer useable,The plastic nuts stripped after a year an no longer support the boom.
20,Wow..this bottle was tiny. Was not sure what I expected.  Still it is bleach and I cannot get too excited about that except my towels will now be so white that all the neighbors will be jealous.,WOW!,Wow.. this bottle was tiny. Wasn't sure ...
21,"I Am Going To the DBZ:RB series is not as fun or interesting as the BT series.

Starting off, my biggest gripe with the game is its exclusion of story mode. I am under the impression that they just wanted to do something different with the games main course which is fine, but ""Galaxy Mode"" is practically just random battles.
The mode is not the least bit exciting.

The game looks really. The character models are smooth.

The game controls are decent, but you might find there are many ""small"" things that result to a moderate deal. This is not a pickup and play either. You will have to check out the tutorial/practice modes to learn all the moves.

Further, customizing is not anywhere near as indepth as the BT series. You are limited to how many moves you can do in a fight similar to the way capsules work in the first dbz budokai, and every character has the same health. Three bars.

I would also like to point out that there is no GT characters in the game. However, they do introduce a few new faces
Tarble, Future Gohan, Nail, etc.
Also no Sayian characters with a tail can transform in battle like they could in BT.",No fun or interesting as the DBZ:RB series,Not as good as the Budokai Tenkaichi series
22,"The QUARTET ENDURAGLIDE DRYERASE MARKERS ACCESSORY KIT, FINE TIP, ASSORTED COLORS, 5 PACK 5001M5SK claims to deliver strong, bold color. The green, black and blue did a decent job, however the red was far from bold. I learned some time ago that if you keep your markers face down in a container, when you go to use them they work better, having allowed the ink to collect at the tip. I thought that had been my problem with the red the first time I used it, but later discovered it just did not deliver the color it claimed it would. When I discovered the dry erase markers had a widow on the side to check the ink level, my first thought was what a great idea. Then it occurred to me that for the most part it was irrelevant. Either it works hence there is ink. Or it does not hence there is not. I keep my markers in a container so the nonroll cap is not an added feature for me, however a good concept. One thing I do like about the markers is the size. Not sure if the ink capacity is less than other dry erase markers, but I loved the slim barrel and fine tip. I found them to erase just fine from the white board. The erase is a nice size and works well. The cleaner is a handy compact size. The package is a nice option when you are in need of a new eraser and cleaner. Product Information: Patented 3chamber, liquid ink, EnduraGlide dryerase marker always delivers strong, bold color Nontoxic, lowodor ink is safe and easy to use; Ink sent straight to nib from 3 separate chambers, ensuring constant ink flow Write in small spaces with fine tip Seethrough ink gauge shows",Good product,"GREAT SET, EXCEPT FOR THE RED"
23,"I used this spray adhesive to attach a large laminated map to several pieces of corkcovered foamboard. I sprayed outside on the front porch  ran inside to do the actual attachment and was glad, since even doing it that way left a funny smell in the house for about an hour afterward. Be prepared to move fast because it goes from wet to very tacky to dry in about a minute, maybe less  and once it is grabbed on to something, it is VERY hard to reposition things that did not line up properly. Despite that, there are some minor curling issues see note at end.

I was able to use this to attach the plasticlaminated map to the cork layer of the backing board, and also used it to easily attach strips of nonprimed wood molding strips to the paper side of the backing board as reinforcement.

NOTE: The map I used is laminated and came rolled up, so I had it laying flat on the floor with weights all the way across  on all 4 corners for 48 hours before attaching it to the backing board  and within 24 hours I was having to tape down some of the edges that were curling loose from the adhesive even though it is very thin and showed almost no signs of curling during the glueing process. However, there have been no signs of the wood strips separating from the backing board.",VERY hard to attach things that did not line up properly,"Works Alright, Takes Some Practice, Not As Strong As Expected"
24,Best workout music,Five Stars,Great Purchasing Experience!
25,"I really love Hot Tools curling iron, especially this one! I have the 1 3/4"" one that gives me lose curls but I just wanted one that gives my hair a straight out of the salon blow dry look so I decided to get this one. My hair has been a little damaged and frizzy from dyeing and this curling iron definitely did the job, giving me that smooth voluminous look! My biggest problem with using curling irons is that sometimes it gives my hair that rough/dry feeling afterwards, but this one definitely does not make my hair feel damaged at all! I was a little skeptical when I was deciding whether to buy this because I have a curling iron of every size already. I did not know if I needed this one, but ever since I got this, I have been using it everyday Laughing, big grin or laugh with glasses. I am also a little amazed at the price because this definitely feels like top of the line quality for such a reasonable price.",My biggest problem with using curling irons is that sometimes it gives my hair...,I really love Hot Tools curling iron
26,"I love this product.  Sturdy, spacious with lots of compartments and also lined with magazine holders.",Sturdy,Five Stars
27,"There are several problematic areas.  Packaging is very poor as it consists of white cloth and a gluded lable that is bound to fall off and get stained, the actual CDs lack the songs written on them.  Naturally, there are many highlights, but the attempt to mix rare cuts, out takes, excellent cuts of well known jams, such as Eyes, Cassidy, and Shakedown, and freeform jams is bound to be unfocused.  I love the rare cuts, but as far as the rest is concerned, there really are too many other versions and sources for any deadhead with a decent collection to invest hardearned cash on this.  On a more positive light, this collection could be worse. If I could have only 6 hours of Dead to listen to, I could not do a much better job in selection. Think hard about spending the cash for this.",Very poor packaging.,Buyer beware
28,Worked great to get my cv axel out of my 2015 sportsman 850,Five Stars,Five Stars
29,Does not completely eliminate the water hammer but it helps.,Not the right water hammer for one thing,Four Stars
30,"I am happy with these. The height it just what I was looking for. The toe is a little pointy for my taste, but not enough to send them back for. I have not worn them much yet, so I do not know about overall long term comfort. I am sure I can wear them for a few hours, but all day is yet to be determined. I was concerned they would be too big, as it seems that I recall others stating they ran large, and....I frequently buy flip flops in a half size smaller anyway. I wear a 5.56 depending on the shoe, and often buy size 5 in flip flops, these were only available in the 5.56, and they seem to fit fine except for the pointy toe that sticks out a little bit. Overall, pretty happy with these!","Great shoe, but not enough to send them back for.",Flojo wedge flip-flops - nice height.
31,"It was scary when Tigi stopped making this stuff, and we were all scrambling to buy whatever was left online  now I guess they are making it again, so thank god.  They changed the packaging but it is still the same great product.  This has been my favorite shampoo and conditioner for over ten years now  it is the best of all worlds.  I even gifted some to my boyfriend, who has long curly hair, because he loves using mine so much.",I love the way it works,"Have been using for a decade, will use forever"
32,No issues,Five Stars,Five Stars
33,Great product and quick delivery...highly recommend!,Five Stars,Five Stars
34,great software love to clean up those photos,great software love to clean up those photos,Five Stars
35,"Absolutely awesome product,fits perfectly.  I love it and would order another in a heartbeat.  Great for setting on a desk to read.",Five Stars,Pandigital leatherette case
36,good price on sponges for painiting,Five Stars,Sponges for art projects.
37,My daughter has several and thus one is cute!,Five Stars,Fun toy
38,Excellent product would buy again !  Super buy !!!,Five Stars,Five Stars
39,Nice and comfortable,Five Stars,Five Stars
