,reviewText,predSumary,actualSummary
0,"Definitely a small tube but you do not need much... It lasted me at least 2 months, used it daily.  Very soft and gentle for sensitive skin around eyes.","Great for sensitive skin, but not very thin... very very very thin, but easy to remove from the skin. I don't recommend it for sensitive sensitive skin. Very thin. I would recommend this for sensitive to sensitive skin and very skin. But very thin!",Definitely a small tube but you don't need much. ...
1,"Upon getting Rouge Rite, it became my immediate favorite red. I tend to like all the red shades Wildfirethis is darker, Masqueradethis has no shimmer, Rose Brocadethis is less 'pinkish' and this one is a deep red, almost Oxblood I think the Oxblood shade by CND looks too brown to me This was what I wanted when I tried the 'Oxblood shade' as it is darker than the ones mentioned, with no shimmer. Looks amazing on my pale skin, but I think it would look amazing on olive tones as well! This works well as a fall or winter shade, where Wildfire is more bright and almost summery.","I love the color and color and the color! Red Red!!! I love this red color, especially the red! I've ve seen red and red the colors and color, and it's a favorite red red color and it is definitely a favorite color of Red",Beautiful shade of deep RED
2,"The tin is much bigger than these sample sized products.  The cleaning solution does a good job removing face makeup but it is not the best I have ever used on eye makeup.  I had to use a second pad to go over my eyes a second time.  The serum is nice but the bottle is very, very small.  I have used some pretty expensive facial serums in my day and this one is good  but it is hard to gauge effectiveness when there is so little product to evaluate.  There are only a few applications available.

The Liftactive Supreme and the Firming lotions are the winners in this set.  They both feel great going on, and do a great job moisturizing and tightening up your skin.

I love Vichy products and would have loved this set if I had not already been using a superior facial cleanser that makes short work of eye makeup and a better serum.","It's a good product but it is looks very like it's better than the picture I've seen. The mask is a very good quality and the lid is a bit smaller than the mask is much better than expected, but it does not look like the picture",This is more like a sample set than a gift set but there are some really nice creams that make it worth it.
3,"This serum makes my skin feel bouncy and soft the next day. I love how nourishing it feels when applied, yet is not greasy or too moisturizing. I have oily skin, so am easily put off by anything too emollientfeeling. This feels like a lotion and serum mixed together. Very light texture and sinks in very quickly, yet the skin feels totally moisturized and comfortable after applying.

Out of the other serums La RochePosay offers, I am actually more inclined to use the Effaclar Serum which I have purchased several bottles of, simply because it is more conducive to my skin type and what I look for in skincare. I have oily, somewhat congested skin, and am 32. Although I really like this Substiane serum, I do not think that I will purchase another when I run out..it is something I think I will really love 10 years down the road. I think my mom would really like it, actually. I still use it almost daily, but concentrate it on my neck more. If you have drier skin than I, or more mature skin, you will probably love this serum.

The biggest factor that keeps me from loving this serum is the scent. It has the typical, La RochePosay scent which many of their products have, BUT it smells as if it is almost expired...kind of plasticy. Another product with the same scent that I have also gone through many tubes of is Effaclar KI have had similar issues with it having a plastic smell. So, I am sure it is not every bottle, and yesthe plastic scent does fade awaybut it does irritate me when I first apply it. I thought it was worth mentioning because some are very sensitive to scent.",I love this serum. I love it and and every day my skin cream... and it's all the time time and I love how it makes my skin skin feel soft and it gives a wonderful cream cream and it feels wonderful and the skin and skin is wonderful.,"Moisturizing, Light-Feeling Serum, but: Odd Scent"
4,"just gorgeous, richer than Essie's ""I am Addicted"" and I cannot decide which one I like better!","I love this song, I'm not!!!,!! I!! And I love it!!?!!... I think I will definitely buy another one from my boyfriend!! (!! and I I definitely buy it again!","richer than Essie's ""I'm Addicted"" and I can't decide which one I like better!"
5,"Perfume is such a personal thing, not only can one person find appealing what another does not, a perfume can also smell different on different people.  I always loved the smell of Calvin Klein Eternity, and was excited to try the Eternity Aqua version.  Aqua is a much more subtle scent to be sure, but to me there is no main scent so while it is pleasant and fresh, it just does not really have depth to it.  I like a scent that makes me want to breath in more deeply and this one just says ""I am clean.""  Although I found it went on strong, it wears off very quickly.  Bear in mind, this is just how I felt it smelled on me.  If you are considering purchasing this, I would recommend trying it in a brick and mortar store first, possibly get a sample, and it you like and it works for your body chemistry then go for it, but unfortunately it did not work for mine.","This is a must for anyone who doesn '!!!,!!?!!...!! love!! I'm m so glad I could find it in my life.. this is like this this man is a wonderful scent and smell and smell",Pleasant but lacks depth
6,So I used this product all up and do not see or feel any different about my skin. I used as directed but nothing has changed.,I don't know how to use this this my this product would make my skin feel so much I feel like this this product was supposed to look like my skin skin would look like this skin would have actually been applied on my skin or my skin. I have used this skin,So I used this product all up and don't see ...
7,"This shampoo lathers a lot, and can leave your hair a little greasy if you apply too much, so you want to use only a tiny bit. Good thing because this shampoo is whoppingly expensive.  Yes, it washes my hair and yes, only a little color comes out; but there are less expensive shampoos that work just as well for me.",This shampoo is a little s fine for a little amount of spoosa shamhamhampoa but it's a bit spoo and gets a lot of sulfate in a a little lot of scalis and gets sham,OK shampoo but not worth the price
8,Light and creamy,Light and light and easy to light and smooth moisturizingzing and smooth... and smooth and smooth!!!. veryzing and soft.. very and smooth in a light and soft and attractive and and smooth on a light light light and a light,Five Stars
9,"I am really not sure if and how it is different from my beloved ""Out the Door,"" topcoat, but surely it is.  I use this in unison with the CND colors and sometimes get a week out of the polish.","I am not sure what to say about this This this is what I am looking for, but it's not the right description of of the color scheme and the color and style of this hat is supposed to be to be the correct correct style of the the hat",Not sure
